/award/award_winner/awards_won./award/award_honor/award_winner
length: 2, num: 6
Qualify Rule 1:  [2, 2] :[NSC, SC, HC] [0.75, 0.75, 0.001034126163391934] 2 /media_common/netflix_genre/titles; 2 /media_common/netflix_genre/titles; 
Qualify Rule 2:  [78, 2] :[NSC, SC, HC] [1.0, 1.0, 0.0031023784901758012] 78 /film/film_subject/films; 2 /media_common/netflix_genre/titles; 
Rule 3:  [2, 122] :[NSC, SC, HC] [0.40463065049614111, 0.291005291005291, 0.05687693898655636] 2 /media_common/netflix_genre/titles; 122 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for; 
Rule 4:  [2, 123] :[NSC, SC, HC] [0.41051454138702459, 0.2879858657243816, 0.05618752154429507] 2 /media_common/netflix_genre/titles; 123 /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for^-1; 
Rule 5:  [137, 2] :[NSC, SC, HC] [0.19047619047619047, 0.19047619047619047, 0.0013788348845225785] 137 /tv/tv_program/genre^-1; 2 /media_common/netflix_genre/titles; 
Rule 6:  [181, 2] :[NSC, SC, HC] [0.26666666666666666, 0.26666666666666666, 0.002757669769045157] 181 /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location^-1; 2 /media_common/netflix_genre/titles; 

Rules number: 4
Qualify Rules number: 2

/award/award_winner/awards_won./award/award_honor/award_winner
length: 3, num: 353
Rule 53:  [87, 235, 3] :[NSC, SC, HC] [0.14516129032258066, 0.10843373493975904, 0.018934081346423562] 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 235 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 54:  [321, 240, 3] :[NSC, SC, HC] [0.045454545454545456, 0.04819277108433735, 0.002805049088359046] 321 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity^-1; 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 55:  [240, 321, 3] :[NSC, SC, HC] [0.068965517241379309, 0.07058823529411765, 0.004207573632538569] 240 /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant; 321 /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 56:  [86, 234, 3] :[NSC, SC, HC] [0.12865497076023391, 0.10909090909090909, 0.021037868162692847] 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 234 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 57:  [234, 86, 3] :[NSC, SC, HC] [0.16187050359712229, 0.10256410256410256, 0.016830294530154277] 234 /celebrities/celebrity/celebrity_friends./celebrities/friendship/friend; 86 /base/popstra/celebrity/friendship./base/popstra/friendship/participant; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 58:  [369, 151, 3] :[NSC, SC, HC] [0.18106995884773663, 0.18333333333333332, 0.030855539971949508] 369 /people/person/spouse_s./people/marriage/spouse^-1; 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 59:  [151, 369, 3] :[NSC, SC, HC] [0.20212765957446807, 0.19786096256684493, 0.025946704067321177] 151 /base/popstra/celebrity/dated./base/popstra/dated/participant^-1; 369 /people/person/spouse_s./people/marriage/spouse^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 60:  [13, 87, 3] :[NSC, SC, HC] [0.10091131362525005, 0.04223356009070295, 0.10448807854137447] 13 /award/award_nominee/award_nominations./award/award_nomination/award_nominee^-1; 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 61:  [87, 13, 3] :[NSC, SC, HC] [0.078294302691366655, 0.017949348414064422, 0.05119214586255259] 87 /base/popstra/celebrity/friendship./base/popstra/friendship/participant^-1; 13 /award/award_nominee/award_nominations./award/award_nomination/award_nominee^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
Rule 62:  [340, 13, 3] :[NSC, SC, HC] [0.06097560975609756, 0.041666666666666664, 0.004207573632538569] 340 /people/person/sibling_s./people/sibling_relationship/sibling; 13 /award/award_nominee/award_nominations./award/award_nomination/award_nominee^-1; 3 /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor^-1; 
